LayPrice,BestBackOdds,Offset
1.01,3.05,2.04
1.02,3.75,2.73
1.03,3.85,2.82
1.04,2.4,1.36
1.05,3,1.95
1.06,3.65,2.59
1.07,2.04,0.97
1.08,3.5,2.42
1.09,2.8,1.71
1.1,1.81,0.71
1.11,1.83,0.72
1.12,1.74,0.62
1.13,1.86,0.73
1.14,1.48,0.34
1.15,1.8,0.65
1.16,1.88,0.72
1.17,1.96,0.79
1.18,1.71,0.53
1.19,2.08,0.89
1.2,1.97,0.77
1.21,1.76,0.55
1.22,1.64,0.42
1.23,1.84,0.61
